natureza_juridica_codigo	natureza_juridica_descricao	natureza_juridica_escopo	imposto_importacao	imposto_exportacao	ipi	irpf	irpj	irrf	iof	itr	cofins	pis_pasep	csll	cide_combustiveis	contribuicao_previdenciaria	cpsss	pagamento_unificado	outras_receitas_rfb	demais_receitas
1244	Município	os Municípios. pessoas jurídicas de direito público interno. entes dotados de autonomia e integrantes da República Federativa do Brasil. previstos nos arts. 1º e 18 da Constituição Federal e no inciso III do art. 41 da Lei nº 10.406. de 10/01/2002 (Código Civil)	0.00	0.00	0.00	0.00	905664.39	6401414.53	32603.19	81538.04	2042897.54	5801899620.13	411924.51	1319.36	25141416879.32	57885.72	32445879.94	79644814.29	235463182.39
1252	Fundação Pública de Direito Privado Federal	as fundações instituídas pela União. regidas por regime híbrido. ou seja. pelo direito privado derrogado por normas de direito público. previstas na Constituição Federal. art. 37. inciso XIX. segunda parte. e no Decreto-Lei nº 200. de 25/02/1967. artigo 5º. inciso IV. com a redação dada pela Lei nº 7.596. de 10/04/1987. art. 1º. Estas fundações não são espécies de autarquia e a sua instituição e extinção são autorizadas em lei federal específica. devendo os seus atos institutivos. alteradores ou extintivos serem obrigatoriamente registrados no Cartório de Registro Civil de Pessoas Jurídicas	0.00	0.00	0.00	0.00	0.00	312872.47	30169250.64	0.00	16815.63	3643.35	5605.23	0.00	3700144.01	0.00	4602672.59	15770.42	0.00
1260	Fundação Pública de Direito Privado Estadual ou do Distrito Federal	as fundações instituídas pelos Estados ou pelo Distrito Federal. regidas por regime híbrido. ou seja. pelo direito privado derrogado por normas de direito público. previstas na Constituição Federal. art. 37. inciso XIX. segunda parte. Estas fundações não são espécies de autarquia e a sua instituição e extinção são autorizadas em lei estadual ou distrital específica. devendo os seus atos institutivos. alteradores ou extintivos serem obrigatoriamente registrados no Cartório de Registro Civil de Pessoas Jurídicas	0.00	0.00	0.00	0.00	2259151.21	26481126.67	0.00	0.00	294007.15	4010015.07	49060.47	0.00	252105402.65	0.00	1451650.10	5060.76	23624854.91
1279	Fundação Pública de Direito Privado Municipal	as fundações instituídas pelos Municípios. regidas por regime híbrido. isto é. pelo direito privado derrogado por normas de direito público. previstas na Constituição Federal. art. 37. inciso XIX. segunda parte. Estas fundações não são espécies de autarquia e a sua instituição e extinção são autorizadas em lei municipal específica. devendo os seus atos institutivos. alteradores ou extintivos serem obrigatoriamente registrados no Cartório de Registro Civil de Pessoas Jurídicas	0.00	0.00	0.00	0.00	3588104.11	51553882.24	0.00	0.00	18210285.07	10042751.38	5995412.70	0.00	277922181.75	0.00	7378518.18	351998.34	2151847.03
1287	Fundo Público da Administração Indireta Federal	os fundos públicos da administração indireta Federal. dotados de personalidade jurídica. criados no âmbito de Poder da União	0.00	0.00	0.00	0.00	0.00	5043504415.58	0.00	0.00	0.00	0.00	0.00	0.00	137645289.18	0.00	0.00	0.00	121296.17
1295	Fundo Público da Administração Indireta Estadual ou do Distrito Federal	os fundos públicos da administração indireta Federal. dotados de personalidade jurídica. criados no âmbito de Poder dos Estados ou do Distrito Federal	0.00	0.00	0.00	0.00	0.00	2036543.39	46.24	0.00	0.00	0.00	0.00	0.00	23590.16	0.00	0.00	624.54	0.00
1309	Fundo Público da Administração Indireta Municipal	os fundos públicos da administração indireta Federal. dotados de personalidade jurídica. criados no âmbito de Poder dos Municípios	0.00	0.00	0.00	0.00	200.03	408.36	0.00	0.00	0.00	3984283.04	0.00	0.00	37195.87	0.00	0.00	3128.38	0.00
1317	Fundo Público da Administração Direta Federal	os fundos especiais de natureza contábil e/ou financeira. não dotados de personalidade jurídica. previstos nos artigos 71 a 74 da Lei n. º 4.320. de 17/03/1964. criados no âmbito de Poder da União. bem como dos Ministérios Públicos e dos Tribunais de Contas	0.00	0.00	0.00	0.00	15303.89	700141.04	0.00	10.80	115200.25	24960.07	38678.53	0.00	2818175.65	299043008.25	7378071.91	389367.10	309455866.19
1325	Fundo Público da Administração Direta Estadual ou do Distrito Federal	os fundos especiais de natureza contábil e/ou financeira. não dotados de personalidade jurídica. previstos nos artigos 71 a 74 da Lei n. º 4.320. de 17/03/1964. criados no âmbito de Poder dos Estados ou do Distrito Federal. bem como dos Ministérios Públicos e dos Tribunais de Contas	0.00	0.00	0.00	0.00	0.00	677591.48	0.00	0.00	34180.34	42946449.21	4567.16	0.00	519557381.92	0.00	51673.40	940378.43	697448.86
1333	Fundo Público da Administração Direta Municipal	os fundos especiais de natureza contábil e/ou financeira. não dotados de personalidade jurídica. previstos nos artigos 71 a 74 da Lei n. º 4.320. de 17/03/1964. criados no âmbito de Poder dos Municípios. bem como dos Ministérios Públicos e dos Tribunais de Contas	0.00	0.00	0.00	0.00	11840.41	1098864.06	37846.45	0.00	35311.37	41257225.32	11361.56	0.00	1243515294.79	0.00	1889023.16	1484206.46	2653553.91
